,name,commodity
340,Anaconda Mining Inc.,Gold
341,Andino Commodities S.A.S,Gold
342,Aquila Resources Inc.,Gold
343,Ardiden Limited,Gold
344,Argo Gold,Gold
345,Argonaut Gold Inc.,Gold
346,Artemis Gold Inc.,Gold
347,Artisanal Gold Council,Gold
348,Asante Gold Corporation,Gold
349,Ascot Resources Ltd.,Gold
350,Aston Bay,Gold
351,ATAC Resources Ltd.,Gold
352,Atlantic Gold Corporation,Gold
353,Auramex Resource Corp,Gold
354,Aurania Resources Ltd.,Gold
355,Aurora Minerals Group LLP,Gold
356,Aurum Discovery,Gold
357,AURYN Mining Corp.,Gold
358,Auryn Resources Inc.,Gold
359,Avidian Gold Corp.,Gold
360,Avino Silver & Gold Mines Ltd.,Gold
361,Awale Resources Ltd.,Gold
362,Azimut Exploration Inc.,Gold
363,Azure Minerals Limited,Gold
364,B2Gold Corp.,Gold
365,Balmoral Resources Ltd.,Gold
366,Banyan Gold Corp.,Gold
367,Barrian Mining Corp,Gold
368,Barrick Gold Corporation,Gold
369,BeMetals Corp.,Gold
370,Benton Resources Inc.,Gold
371,BlackRock Gold Corp.,Gold
372,Blackstone Minerals Ltd,Gold
373,Blue Star Gold Corp.,Gold
374,Blue Thunder Mining Corp,Gold
375,BONTERRA Resources Inc.,Gold
376,Breaker Resources NL,Gold
377,Brixton Metals Corporation,Gold
378,BTU Metals Corp.,Gold
379,BWR Exploration Inc.,Gold
380,Cabral Gold Ltd.,Gold
381,Callinex Mines Inc.,Gold
382,Canarc Resource Corp.,Gold
383,Cantex Mine Development Corp,Gold
384,Cardinal Resources Ltd.,Gold
385,Carube Copper Corp.,Gold
386,Centerra Gold Inc.,Gold
387,Century Global Commodities Corporation,Gold
388,Chakana Copper Corporation,Gold
389,Chesapeake Gold Corporation,Gold
390,China Gold International Resources Corp. Ltd.,Gold
391,Columbus Gold Corp.,Gold
392,Commander Resources Ltd.,Gold
393,Condor Gold Plc,Gold
394,Conroy Gold and Natural Resources plc,Gold
395,Consulting & Mining Sevices SRL,Gold
396,Continental Gold Inc.,Gold
397,Copper Fox Metals Inc.,Gold
398,Copper Mountain Mining Corporation,Gold
399,Cornerstone Capital Resources Inc.,Gold
400,Corvus Gold Inc.,Gold
401,Crystal Lake Mining,Gold
402,CVK Mining Group,Gold
403,Delta Resources Limited,Gold
404,Desert Gold Ventures Inc.,Gold
405,Discovery Group,Gold
406,Dundee Precious Metals Inc.,Gold
407,Durango Resources Inc.,Gold
408,Dynacor Gold Mines Inc.,Gold
409,Dynasty Gold Corp.,Gold
410,Eagle Plains Resources Ltd.,Gold
411,Earthmetrix Inc.,Gold
