add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"600 St Kilda Rd, Melbourne VIC 3004",,au,Sydney (ASX),POINT (144.9763639 -37.8358215),Newcrest Mining Ltd.,,Victoria,28.99 AUS,NCM ,http://www.newcrest.com.au
"6363 South Fiddler’s Green Circle, Greenwood Village, CO 80111",Greenwood Village,us,TSE/NYSE,POINT (-104.8924948 39.6014032),Newmont Corporation,,Colorado,58.52 CDN,NGT/NEM ,http://www.newmont.com
"580 Hornby St, Vancouver, BC V6C 3B6",Vancouver,ca,TSX-Venture/OTC,POINT (-123.117909 49.285199),Newrange Gold Corp.,,British Columbia,0.13 CDN,NRG/NRGOF,http://www.newrangegold.com
"37A Ave J-F Kennedy, 1855 Luxembourg",Luxembourg,lu,TSE/NYSE,POINT (6.13 49.61167),Nexa Resources S.A.,,District de Luxembourg,10.46 CDN,NEXA,http://www.nexaresources.com
"355 Burrard St, Vancouver, BC V6C 2G8",Vancouver,ca,TSX-Venture,POINT (-123.116591 49.288158),Nicola Mining Inc.,,British Columbia,0.10 CDN,NIM ,http://www.nicolamining.com
"1111 St Charles W, Longueuil, QC J4K 5G4",Longueuil,ca,TSX-Venture,POINT (-73.51515499999999 45.518331),NioBay Metals Inc.,,Quebec,0.40 CDN,NBY,http://www.niobaymetals.com
"212 King St W, Toronto, ON M5H 1K5",Toronto,ca,TSX-Venture,POINT (-79.42535100000001 43.633695),Noront Resources Ltd.,,Ontario,0.17 CDN,NOT,http://www.norontresources.com
"789 West Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture,POINT (-123.115458 49.285288),North Arrow Minerals Inc.,,British Columbia,0.05 CDN,NAR ,http://www.northarrowminerals.com
"1040 W Georgia St, Vancouver, BC V6E 4H1",Vancouver,ca,TSE/NYSE,POINT (-123.082129 49.27799),Northern Dynasty Minerals Ltd.,,British Columbia,0.57 CDN,NDM/NAK,http://www.northerndynastyminerals.com 
"290 Picton Ave, Ottawa, ON K1Z 8P8",Ottawa,ca,TSX-Venture,POINT (-75.75203999999999 45.393513),Northern Graphite Corporation,,Ontario,0.15 CDN,NGC,http://www.northerngraphite.com
"55 Metcalfe St, Ottawa, ON K1P 6L5",Ottawa,ca,TSX-Venture,POINT (-75.69608340000001 45.4221069),Northern Shield Resources Inc.,,Ontario,0.09 CDN,NRN,http://www.northern-shield.com
"1351 C Kelly Lake Rd, Sudbury, ON P3E 5P5",Sudbury,ca,TSX-Venture,POINT (-81.03243000000001 46.465996),Northern Superior Resources Inc.,,Ontario,0.19 CDN,SUP,http://www.nsuperior.com
"1075 W Georgia St, Vancouver BC V6E 3C9",Vancouver,ca,TSX-Venture/OTC-Nasdaq,POINT (-123.122205 49.28587),Northern Vertex Mining Corp.,,British Columbia,0.26 CDN,NEE/NHVCF,http://www.northernvertex.com
"17 Wellington St N, New Liskeard, ON P0J 1P0",Temiskaming Shores,ca,CSE,POINT (-79.6729344 47.5100585),Northstar Gold Corp.,,Ontario,0.30 CDN,NSG ,http://www.northstargoldmining.com
"650 W Georgia St, Vancouver, BC V6B 4N9",Vancouver,ca,TSE,POINT (-123.117503 49.281938),NorZinc Ltd,,British Columbia,0.08 CDN,NZC,http://www.norzinc.com
"331 Rue Brassard, Saint-Michel-des-Saints,  QC, J0K 3B0",,ca,TSX-Venture,POINT (-73.9169723 46.6786059),Nouveau Monde Graphite,Lanaudière,Quebec,0.24 CDN,NOU,http://www.nouveaumonde.ca
"400 Burrard St, Vancouver, BC V6C 3A6",Vancouver,ca,TSE/NYSE,POINT (-123.117075 49.286617),Novagold Resources Inc.,,British Columbia,11.62 CDN,NG,http://www.novagold.com
"357 Collins St, Melbourne VIC 3000",,au,TSE,POINT (144.9541445 -37.8189955),OceanaGold Corporation,,Victoria,2.47 CDN,OGC,http://www.oceanagold.com
"Hinton, AB T7V 1X8",Hinton,ca,TSX-Venture,POINT (-117.581653 53.403815),Olivut Resources Ltd.,,Alberta,0.05 CDN,OLV,http://www.olivut.com
"4710 Saint-Ambroise St, Montreal, QC H4C 2C7",Montreal,ca,TSX-Venture,POINT (-73.5806 45.475697),Opus One Resources Inc.,,Quebec,0.05 CDN,OOR ,http://www.opusoneresources.com
"55 University Ave, Toronto, ON M5J 2H7",Toronto,ca,TSX-Venture,POINT (-79.38401 43.646957),Orefinders Resources Inc.,,Ontario,0.05 CDN,ORX ,http://www.orefinders.ca
"325 Howe St Vancouver, BC V6C 1Z7",Vancouver,ca,TSX-Venture/OTC,POINT (-123.11437 49.286518),Orestone Mining Corp,,British Columbia,0.11 CDN,ORS/ORSF,http://www.orestone.ca
"1111 Melville St Vancouver, BC V6E 3V6",Vancouver,ca,TSX-Venture,POINT (-123.122136 49.286786),Orezone Gold Corporation,,British Columbia,0.44 CDN,ORE,http://www.orezone.com
"141 Adelaide St W, Toronto, ON M5H 3L5",Toronto,ca,TSX-Venture,POINT (-79.404066 43.644554),Orford Mining Corp.,,Ontario,0.04  CDN,ORM,http://www.orfordmining.com
"595 Howe St, Vancouver, BC V6C 2T5",Vancouver,ca,TSE,POINT (-123.117446 49.284596),Orla Mining Ltd.,,British Columbia,2.43 CDN,OLA ,http://www.orlamining.com
"34 Colin St, West Perth WA 6005",Perth,au,Sydney (ASX),POINT (115.8414839 -31.9506404),Oro Verde Limited,,Western Australia,0.008 AUS,OVL,http://www.oroverde.com.au
"Palm Grove House, Wickhams Clay Road Town, Tortola",Tortola,vg,TSX-Venture,POINT (-64.60382 18.43882),Orsu Metals Corporation,,,0.22 CDN,OSU ,http://www.orsumetals.com
"70 York St, Toronto, ON M5J 1S9",Toronto,ca,TSE,POINT (-79.3832611 43.6467492),Orvana Minerals Corp.,,Ontario,0.24 CDN,ORV ,http://www.orvana.com
"789 West Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture/FSE,POINT (-123.115458 49.285288),Osino Resources Corp.,,British Columbia,0.82 CDN,OSI/R2R1,http://www.osinoresources.com
"1100 Ave des Canadiens-de-Montreal, Montreal, QC H3B 2S2",Montreal,ca,TSE/NYSE,POINT (-73.569304 45.497154),Osisko Gold Royalties Ltd.,,Quebec,12.80 CDN,OR,http://www.osiskogr.com
"100 Ave des Canadiens-de-Montreal, Montreal, QC H3B 2S2",Montreal,ca,TSE,POINT (-73.569304 45.497154),Osisko Metals Incorporated,,Quebec,0.51 CDN,OM ,http://www.osiskometals.com
"300 Vesey St, New York, NY 10282",New York,us,OTCMKTS,POINT (-74.0169568 40.7144302),OTC Markets Group,,New York,34.55 USD,OTCM ,http://www.otcmarkets.com
"161 Bay St, Toronto, ON M5J 2S1",Toronto,ca,TSX-Venture,POINT (-79.3787741 43.6469),Otso Gold Corp.,,Ontario,0.08 CDN,OTSO ,http://www.otsogold.com
"850 W Hastings St, Vancouver, BC V6C 1E1",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.1161579 49.2862256),Pacific Empire Minerals Corp.,,British Columbia,0.05 CDN,PEMC/PEMSF,http://www.pemcorp.ca
"19-23 Clarinda Rd, Oakleigh South, VIC 3167",,au,,POINT (145.0992668 -37.9336306),Pacific Trends Resources Pty Ltd,,Victoria,,,http://www.pacifictrendsresources.com.au
"200 Burrard St, Vancouver, BC V6C 3L6",Vancouver,ca,TSX-Venture/OTC,POINT (-123.1155926 49.2876624),Pacton Gold Inc.,,British Columbia,0.10 CDN,PAC/PACXF,http://www.pactongold.com
"145 King St W, Toronto, ON M5H 1J8",Toronto,ca,TSX-Venture/OTC,POINT (-79.387868 43.647262),Palamina Corp.,,Ontario,0.22 CDN,PA/PLMNF,http://www.palamina.com
"800 West Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture/OTC/Frankfurt,POINT (-123.1164135 49.2853994),Palladium One,,British Columbia,0.17 CDN,PDM/NKORF/7N11,http://www.palladiumoneinc.com
"217 Queen St W, Toronto, ON M5V 0R2",Toronto,ca,TSX-Venture,POINT (-79.3877342 43.6505004),Pancontinental Resources Corporation,,Ontario,0.05 CDN,PUC,http://www.panconresources.com
"North Fremantle, WA 6159",Fremantle,au,,POINT (115.7549789 -32.0327438),Panda Mining Pty Ltd,,Western Australia,,,http://n/a
"700 West Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSX-Venture/BVL/Borse/OTC,POINT (-123.1154498 49.2846592),Panoro Minerals Ltd.,,British Columbia,0.08 CDN,PML/PML/PZN/POROF,http://www.panoro.com
"2 Duke St, Marylebone, London, UK W1U 3EH",London,gb,London (AIM) ,POINT (-0.152587 51.516173),Panthera Resources Plc,,England,5.00 GBX,PAT,http://www.pantheraresources.com
,,,,,Patagonia Exploracion S.A.,,,,,http://N/A
,,,,,Pavey Ark Minerals Inc.,,,,,http://www.paveyarkminerals.com
"1/34 Kings Park Rd, West Perth, WA 6005",Perth,au,Sydney (ASX),POINT (115.8425473 -31.9534247),Peel Mining Ltd.,,Western Australia,0.23 AUS,PEX ,http://www.peelmining.com.au
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSX-Venture,POINT (-79.3750388 43.6526534),Pelangio Exploration Inc.,,Ontario,0.14 CDN,PX,http://www.pelangio.com
"380 Wellington St, London, ON N6A 5B5",London,ca,CSE/OTCQB,POINT (-81.231038 42.961584),Peloton Minerals Corporation,,Ontario,0.09 CDN,PMC/PMCC,http://www.pelotonminerals.com
"141 Adelaide St W, Toronto, ON, M5H 3L5",Toronto,ca,TSX-Venture/OTCQB,POINT (-79.404066 43.644554),Plateau Energy Metals Inc.,,Ontario,0.27 CDN,PLU/PLUUF,http://www.plateauenergymetals.com
"470 Granville St, Vancouver, BC V6C 1V5",Vancouver,ca,TSX-Venture,POINT (-123.1142086 49.2846008),Playfair Mining Ltd.,,British Columbia,0.03 CDN,PLY ,http://www.playfairmining.com
"100 King St W, Toronto, ON M5X 1C7",Toronto,ca,TSE/NYSE,POINT (-79.3816918 43.6487681),PolyMet Mining Corp.,,Ontario,0.36 CDN,POM/PLM,http://www.polymetmining.com
"470 Granville St, Vancouver, BC V6C 1V5",Vancouver,ca,TSX-Venture/FSE,POINT (-123.1142086 49.2846008),Portofino Resources Inc.,,British Columbia,0.04 CDN,POR/POT,http://www.portofinoresources.com
"55 University Ave, Toronto, ON M5J 2H7",Toronto,ca,TSX-Venture,POINT (-79.38401 43.646957),Power Ore Inc.,,Ontario,0.06 CDN,PORE,http://www.powerore.com
,,,,,PPX Mining Corp.,,,,,http://www.ppxmining.com
"1100 Russell St, Thunder Bay, ON P7B 5N2",Thunder Bay,ca,TSE,POINT (-89.254509 48.402074),Premier Gold Mines Limited,,Ontario,1.52 CDN,PG,http://www.premiergoldmines.com
,,,See: TSX TR,,Privateer Gold,,,,,http://www.privateer.gold
"56 Temperance St, Toronto, ON M5H 3V5",Toronto,ca,TSX-Venture,POINT (-79.381758 43.650618),Probe Metals Inc.,,Ontario,1.17 CDN,PRB ,http://www.probemetals.com
,,,,,Prolific Mining Corp.,,,,,http://www.prolificutah.com/home
"409 Granville St, Vancouver BC V6C 1T2",Vancouver,ca,TSE/OTC/Frankfurt,POINT (-123.1142912 49.2853029),Prophecy Development Corp.,,British Columbia,0.26 CDN,PCY/PRPCF/1P2N,http://www.prophecydev.com
"1040 W Georgia St, Vancouver, BC V6E 4H1",Vancouver,ca,"According to Mr. Zuker, Pucara plans to go public in Toronto on the TSX, and they have some pretty significant shareholders, like Resource Capital Funds, Sandstorm Gold Ltd, and Alamos Gold Inc http://www.metalsnews.com/Metals+News/MetalsNews/Allen+Alper+Jr.,+President,+Metals+News+Inc./FEATURED1265635/Interview+with+Steve+Zuker+President++CEO+of+Pucara+Resources+MultiMillionOunce+Gold+Targets+in+Peru.htm",POINT (-123.082129 49.27799),Pucara Resources,,British Columbia,,,http://www.pucararesources.com
"1055 W Hastings St, Vancouver, BC V6E 2E9",Vancouver,ca,TSX-Venture,POINT (-123.118268 49.2877658),Pure Gold Mining,,British Columbia,0.77 CDN,PGM ,http://www.puregoldmining.ca
"120 Adelaide St W, Toronto, ON M5H 1T1",Toronto,ca,TSX-Venture,POINT (-79.38320299999999 43.650014),Purepoint Uranium Group Inc.,,Ontario,0.05 CDN,PTU ,http://www.purepoint.ca
"65 Queen St W, Toronto, ON M5H 2M5",Toronto,ca,TSE/Frankfurt,POINT (-79.382324 43.651771),QMX Gold Corporation,,Ontario,0.11 CDN,QMX/OU2A,http://www.qmxgold.ca
"1199 W Hastings St, Vancouver, BC V6E 3T5",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.122234 49.288927),Quaterra Resources Inc.,,British Columbia,0.06 CDN,QTA/QTRRF,http://www.quaterra.com
"700 Ave Dallaire, Rouyn-Noranda, QC J9X 4V9",Rouyn-Noranda,ca,TSX-Venture,POINT (-79.026093 48.228226),Radisson Mining Resources Inc.,,Quebec,0.19 CDN,RDS,http://www.radissonmining.com
"105 King St E, Toronto ON M5C 1G6",Toronto,ca,,POINT (-79.373383 43.649967),Red Cloud Securities Inc.,,Ontario,,,http://www.redcloudks.com
"278 Bay St, Thunder Bay, ON P7B 1R8",Thunder Bay,ca,OTCMKTS,POINT (-89.228801 48.431667),Red Metal Resources Ltd.,,Ontario,0.10 CDN,RMES,http://www.redmetalresources.com
"145 Wellington St W, Toronto, ON M5J 1H8",Spadina—Fort York,ca,TSX-Venture,POINT (-79.384956 43.645962),Red Pine Exploration Inc.,,Ontario,0.04 CDN,RPX ,http://www.redpineexp.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture/OTC,POINT (-123.1142912 49.2853029),Redstar Gold Corp.,,British Columbia,0.03 CDN,RGC/RGCTF,http://www.redstargold.com
"5 Canada Square, London, UK E14 5AQ",London,gb,,POINT (-0.018556 51.50564),Refinitiv,,England,,,http://www.refinitiv.com/en
"1177 W Hastings St, Vancouver, BC V6E 2K3",Vancouver,ca,TSX-Venture,POINT (-123.119792 49.287988),Regulus Resources Inc.,,British Columbia,1.10 CDN,REG,http://www.regulusresources.com
"4750 Longley Ln, Reno, NV 89502",Reno,us,TSX-Venture/OTCQB,POINT (-119.7606833 39.4859973),Renaissance Gold Inc.,,Nevada,0.33 CDN,REN/RNSGF,http://www.rengold.com
"1099 Kingston Rd, Pickering, ON L1V 1B5",Toronto,ca,CSE,POINT (-79.096819 43.829389),Renforth Resources Inc.,,Ontario,0.04 CDN,RFR ,http://www.renforthresources.com
"25 York St, Toronto ON MSJ 2V5",,ca,,,Resource Capital Funds,,,,,http://www.resourcecapitalfunds.com
"1111 St Charles St W, Longueuil, QC J4K 5G4",Longueuil,ca,TSX-Venture,POINT (-73.51515499999999 45.518331),Reunion Gold Corporation,,Quebec,0.10 CDN,RGD,http://www.reuniongold.com
"543 Granville St, Vancouver, BC V6C 1X8",Vancouver,ca,TSX-Venture,POINT (-123.115947 49.284352),Revelo Resources Corp.,,British Columbia,0.01 CDN,RVL ,http://www.reveloresources.com
"145 King St W, Toronto, ON M5H 1J8",Toronto,ca,TSX-Venture/OTCQB,POINT (-79.387868 43.647262),Revival Gold Inc.,,Ontario,0.83 CDN,RVG/RVLGF,http://www.revival-gold.com
"145 King St W, Toronto, ON M5H 1J8",Toronto,ca,,POINT (-79.387868 43.647262),Richardson GMP - Alexandra Horwood,,Ontario,,,http://www.alexandrahorwood.com
"6 St James's Square, London, UK SW1Y 4AD",London,gb,Sydney (ASX),POINT (-0.135014 51.508153),Rio Tinto,,England,97.50 AUS,RIO,http://www.riotinto.com
"800 W Pender St, Vancouver BC V6C 2V6",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.1164135 49.2853994),Riverside Resources Inc.,,British Columbia,0.14 CDN,RRI/RVSDF ,http://www.rivres.com
"Kirkland Lake, ON, P2N 3L1",Kirkland Lake,ca,TSX-Venture/OTC,POINT (-80.029196 48.151604),RJK Explorations Ltd.,,Ontario,0.24 CDN,RJX.A/RJKAF,http://www.rjkexplorations.com
"141 Adelaide St W, Toronto, ON M5H 3L5",Toronto,ca,TSE/OTCQX,POINT (-79.404066 43.644554),RNC Minerals,,Ontario,0.44 CDN,RNX/RNKLF,http://www.rncminerals.com
"141 Adelaide St W, Toronto, ON M5H 3L5",Toronto,ca,CSE,POINT (-79.404066 43.644554),Rockcliff Metals Corporation,,Ontario,0.07 CDN,RCLF ,http://www.rockcliffmetals.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSX-Venture/OTC:Pink/Frankfurt,POINT (-123.117998 49.284231),ROKMASTER Resources Corp.,,British Columbia,0.08 CDN,RKR/RKMSF/1RR,http://www.rokmaster.com
"2 Toronto St, Toronto, ON M5C 2B6",Toronto,ca,TSX-Venture/OTCPK/Frankfurt,POINT (-79.376175 43.649696),Romios Gold Resources Inc.,,Ontario,0.04 CDN,RG/RMIOF/D4R,http://www.romios.com
"1550 Bedford Hwy, Bedford, NS B4A 1E6",Halifax,ca,TSX-Venture,POINT (-63.657547 44.732176),Roscan Gold Corporation,,Nova Scotia,0.15 CDN,ROS,http://www.roscan.ca
"360 Bay St, Toronto, ON M5H 2V6",Toronto,ca,TSE/OTCQX,POINT (-79.381439 43.650734),Roxgold Inc.,,Ontario,0.95 CDN,ROXG/ROGFF,http://www.roxgold.com
"320 Sussex Dr, Ottawa, ON K1A 0G8",Ottawa,ca,,POINT (-75.69926030000001 45.431451),Royal Canadian Mint,,Ontario,,,http://www.reserves.mint.ca
"4 Wharf St, St Helier, Jersey JE2 3NR",St Helier,je,TSX-Venture,POINT (-2.107975 49.1831984),Royal Road Minerals,,,0.23 CDN,RYR ,http://www.royalroadminerals.com
"789 West Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture,POINT (-123.115458 49.285288),Rugby Mining Limited,,British Columbia,0.12 CDN,RUG,http://www.rugbymining.com
"4/24 Parkland Road, Osborne Park, WA 6017",Perth,au,Sydney (ASX),POINT (115.8139668 -31.9171547),S2 Resources Ltd.,,Western Australia,0.10 AUS,S2R ,http://www.s2resources.com.au
"555 Burrard St, Vancouver, BC V7X 1M9",Vancouver,ca,TSE,POINT (-123.118569 49.286399),Sabina Gold & Silver Corp.,,British Columbia,1.72 CDN,SBB ,http://www.sabinagoldsilver.com
"1090 W Georgia St, Vancouver, BC V6E 3V7",Vancouver,ca,TSX-Venture/FSE,POINT (-123.123296 49.285369),Salazar Resources Limited,,British Columbia,0.23 CDN,SRL/CCG,http://www.salazarresources.com
"400 Burrard St, Vancouver, BC V6C 3A6",Vancouver,ca,TSE/NYSE,POINT (-123.117075 49.286617),Sandstorm Gold Royalties,,British Columbia,9.21 CDN,SSL/SAND,http://www.sandstormgold.com
"283 Given Terrace, Paddington QLD 4064",Brisbane,au,Sydney (ASX),POINT (153.0070107 -27.4620261),Sayona Mining Limited,,Queensland,0.01 AUS,SYA ,http://www.sayonamining.com.au
"1959 Upper Water St, Halifax, NS B3J 3N2",Halifax,ca,TSX-Venture,POINT (-63.574183 44.651743),ScoZinc Mining Ltd.,,Nova Scotia,0.60 CDN,SZM ,http://www.scozinc.com
"1199 West Pender St, Vancouver, BC V6E 2R1",Vancouver,ca,TSX-Venture,POINT (-123.07925 49.280055),Searchlight Resources Inc.,,British Columbia,0.04 CDN,SCLT ,http://www.searchlightresources.com
"100 Boulevard Alexis-Nihon, Saint-Laurent, QC H4M 2P3",Saint-Laurent,ca,TSE,POINT (-73.687268 45.503163),SEMAFO Inc.,,Quebec,3.29 CDN,SMF ,http://www.semafo.com
"30-32 Ludgate Hill, London, UK EC4M 7DR",London,gb,London (AIM)/TSE/ ,POINT (-0.101356 51.513925),Serabi Gold plc,,England,86.75 GBX,SRB/SBI,http://www.serabigold.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture,POINT (-123.1164135 49.2853994),Serengeti Resources Inc.,,British Columbia,0.22 CDN,SIR,http://www.serengetiresources.com
"22 Adelaide St W, Toronto, ON M5H 4E3",Toronto,ca,TSE,POINT (-79.3794979 43.6504863),Sherritt International Corporation,,Ontario,0.17 CDN,S,http://www.sherritt.com
"360 Rue Saint-Jacques, Montréal, QC H2Y 1P5",Montreal,ca,,POINT (-73.587188 45.476943),Sidex,,Quebec,,,http://www.sidex.ca
"161 Bay St, Toronto, ON M5J 2S1",Toronto,ca,TSE/NYSE,POINT (-79.3787741 43.6469),Sierra Metals Inc.,,Ontario,2.00  CDN,SMT/SMTS,http://www.sierrametals.com
"45 King William St, London, UK EC4R 9AN",London,gb,TSE,POINT (-0.08673500000000001 51.509974),Silver Bear Resources Plc.,,England,0.14 CDN,SBR ,http://www.silverbearresources.com
"1040 W Georgia St, Vancouver, BC V6E 4H1",Vancouver,ca,TSX-Venture/OTC/FSE,POINT (-123.082129 49.27799),Silver One Resources,,British Columbia,0.35 CDN,SVE/SLVRF/BRK1,http://www.silverone.com
"1066 W Hastings St, Vancouver, BC V6E 3X1",Vancouver,ca,TSE/NYSE,POINT (-123.118888 49.287369),Silvercorp Metals Inc.,,British Columbia,5.50 CDN,SVM,http://www.silvercorp.ca
"570 Granville St, Vancouver, BC V6C 3P1",Vancouver,ca,TSE/NYSE,POINT (-123.115659 49.28372),SilverCrest Metals Inc.,,British Columbia,8.86 CDN,SIL ,http://www.silvercrestmetals.com
"1000 St-Antoine O, Montréal, QC H3C 3R7",Montreal,ca,TSX-Venture,POINT (-73.56571700000001 45.497875),Sirios Resources Inc.,,Quebec,0.15 CDN,SOI ,http://www.sirios.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,CSE/FSE,POINT (-123.1142912 49.2853029),Sitka Gold Corp,,British Columbia,0.23 CDN,SIG/1RF,http://www.sitkagoldcorp.com
"1021 W Hastings St, Vancouver, BC V6E 0C3",Vancouver,ca,TSX-Venture/OTCQX/FRA,POINT (-123.081309 49.281117),Skeena Resources Ltd.,,British Columbia,1.08 CDN,SKE/SKREF/RXFB,http://www.skeenaresources.com
"777 Dunsmuir St, Vancouver, BC V7Y 1K4",Vancouver,ca,TSX-Venture/OTCQB/Frankfurt,POINT (-123.116399 49.284331),Skyharbour Resources Ltd.,,British Columbia,0.17 CDN,SYH/SYH/SYHBF/SC1P,http://www.skyharbourltd.com
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSX-Venture,POINT (-79.3750388 43.6526534),Sokoman Minerals Corp.,,Ontario,0.11 CDN,SIC ,http://www.sokomanmineralscorp.com
"111 Eagle St, Brisbane, QLD 4000",Brisbane,au,TSE/LSE,POINT (153.0302377 -27.4676311),SolGold,,Queensland,0.35 CDN,SOLG ,http://www.solgold.com.au
"4251 Kipling St, Wheat Ridge, CO 80033",Wheat Ridge,us,TSE/NYSE,POINT (-105.1097227 39.7761401),Solitario Zinc Corp.,,Colorado,0.42 CDN,SLR/XPL,http://www.solitariozinc.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture/OTCQB/FRA,POINT (-123.1142912 49.2853029),Sonoro Metals Corp.,,British Columbia,0.14 CDN,SMO/SMOFF/23SP,http://www.sonorometals.com
"108 St Georges Terrace, Perth, WA 6000",Perth,au,Sydney (ASX),POINT (115.857183 -31.9544442),South32 Limited,,Western Australia,2.63 AUS,S32,http://www.south32.net
"410 Falconbridge Road, Sudbury, ON P3A 4S4",Sudbury,ca,TSX-Venture ,POINT (-80.926716 46.515118),SPC Metals,,Ontario,0.18 CDN,"XTM (Transition Metals, Parent) ",http://www.sudburyplatinumcorp.com
"1000 De La Gauchetière O, Montreal, QC H3B 4W5",Montreal,ca,TSX-Venture ,POINT (-73.5662471 45.4982013),Sphinx Resources Ltd.,Montreal (06),Quebec,0.02 CDN,SFX,http://www.sphinxresources.ca
"1104 20th Ave, Menominee, MI 49858",Menominee,us,,POINT (-87.6180061 45.1170662),Spirit Mining LLC,,Michigan,,,http://www.spiritmining.us
"200 Bay St, Toronto, ON M5J 2J1",Toronto,ca,TSE,POINT (-79.3803017 43.6466411),Sprott Group of Companies,,Ontario,3.05 CDN,SII,http://www.sprott.com
"El Trovador 4285, Las Condes, Región Metropolitana",Las Condes,cl,NYSE,POINT (-70.58654199999999 -33.413795),SQM,,Santiago Metropolitan Region,31.05 USD,SQM,http://www.sqm.com
"224 4th Ave S, Saskatoon, SK S7K 5M5",,ca,TSX-Venture ,POINT (-106.6612543 52.1255464),Star Diamond Corporation,,Saskatchewan,0.45 CDN,DIAM,http://www.stardiamondcorp.com
"580 Hornby St, Vancouver, BC V6C 3B6",Vancouver,ca,TSE/FK,POINT (-123.117909 49.285199),Starcore International Mines Ltd.,,British Columbia,0.12 CDN,SAM/V4JA,http://www.starcore.com
"Shangri-La, Olympic St 19A, Sukhbaatar District 1, Ulaanbaatar 14241",Ulan Bator,mn,TSE/FWB,POINT (106.88324 47.90771),Steppe Gold Limited,,Ulaanbaatar Hot,0.91 CDN,STGO/2J9,http://www.steppegold.com
"100 King St W, Toronto, ON M5X 1C7",Toronto,ca,TSX-Venture ,POINT (-79.3816918 43.6487681),Stratabound Minerals Corp.,,Ontario,0.08 CDN,SB ,http://www.stratabound.com
"510 W Hastings St, Vancouver, BC V6B 1L8",Vancouver,ca,See companies ,POINT (-123.112371 49.283923),Strategic Exploration Group,,British Columbia,,,http://www.strategicmetalsltd.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSX-Venture,POINT (-123.117998 49.284231),Strongbow Exploration Inc.,,British Columbia,0.05 CDN,SBW,http://www.strongbowexploration.com
"1245 W Broadway, Vancouver, BC V6H 1G7",Vancouver,ca,TSX-Venture ,POINT (-123.1253235 49.2635543),Stuhini Exploration Ltd.,,British Columbia,0.30  CDN,STU ,http://www.stuhini.com
"15782 Marine Dr, White Rock, BC V4B 1E6",White Rock,ca,,POINT (-122.78529 49.016777),Sun Peak Metals,,British Columbia,,,http://www.sunpeakmetals.com
"100 King St W, Toronto, ON M5X 1A0",Toronto,ca,CSE,POINT (-79.381714 43.648778),Talisker Resources,,Ontario,0.41 CDN,TSK,http://www.taliskerresources.com
"6 Willowood Ct, Toronto, ON M2J 2M3",Toronto,ca,CSE,POINT (-79.363106 43.780701),Talmora Diamond Inc.,,Ontario,0.02 CDN,TAI-CN,http://www.talmoradiamond.com
"Craigmuir Chambers Road Town, Tortola VG1110",Tortola,vg,TSE,POINT (-64.60382 18.43882),Talon Metals Corp.,,,0.12 CDN,TLO ,http://www.talonmetals.com
"550 Burrard St, Vancouver, BC V6C 0B3",West Vancouver,ca,TSE,POINT (-123.191454 49.343413),Teck Resources Limited,,British Columbia,19.90 CDN,TECK.A,http://www.teck.com
"744 W Hastings St, Vancouver, BC V6C 1A5",Tsawwassen,ca,TSX-Venture,POINT (-123.067887 49.025591),Tectonic Metals Inc.,,British Columbia,0.23 CDN,TECT,http://www.tectonicmetals.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX-Venture,POINT (-123.122136 49.286786),Telson Mining Corporation,,British Columbia,0.11 CDN,TSN,http://www.telsonmining.com
"22 Mount St, Perth, WA 6000",Perth,au,Sydney (ASX),POINT (115.8510181 -31.9529761),Tempus Resources Limited,,Western Australia,0.21 AUS,TMR,http://www.tempusresources.com.au
"77 King St W, Toronto, ON M5K 2A1",Toronto,ca,TSE/OTCQX,POINT (-79.382057 43.647865),Teranga Gold Corporation,,Ontario,7.66 CDN,TGZ/TGCDF,http://www.terangagold.com
"999 Canada Place, Vancouver, BC V6C 3E1",Vancouver,ca,TSX-Venture,POINT (-123.114011 49.287912),Tethyan Resource Corp.,,British Columbia,0.16 CDN,TETH ,http://www.tethyan-resources.com
"101 E Lakeside Dr, Coeur d’Alene, ID 83814",Coeur d'Alene,us,TSX-Venture/OTCQB,POINT (-116.785529 47.67521),Timberline Resources Corporation,,Idaho,0.10 CDN,TBR/TLRS,http://www.timberline-resources.com
