name,exchange,symbol,stock,add,country
Discovery Group,Revenue Neutral ,Revenue Neutral ,Revenue Neutral ,,
Dundee Precious Metals Inc.,TSE ,DPM ,6.26 CDN,"1 Adelaide St, Toronto, ON M5C 2V9",ca
Durango Resources Inc.,,,,,
Dynacor Gold Mines Inc.,TSE/OTCQX,DNG/DNGDF,1.72 CDN,"625 René-Lévesque Blvd O, Montreal, QC H3B 1R2",ca
Dynasty Gold Corp.,TSX-Venture ,DYG,0.07 CDN,"610 Granville St, Vancouver, BC V6C 3T3",ca
Eagle Plains Resources Ltd.,TSX-Venture ,EPL,0.10 CDN,"44 12th Ave S, Cranbrook, BC V1C 2R7",ca
Earthmetrix Inc.,,,,"6661 Rue des Écores, Montréal, QC H2G 2J8",ca
Eastfield Resources Ltd.,TSX-Venture/OTCQX,ETF/ETFLF,0.04 CDN,"325 Howe St, Vancouver, BC V6C 1Z7",ca
Eclipse Gold Mining Corp,,,,"400 Burrard St, Vancouver, BC V6C 3A6",ca
"EDM-Empresa de Desenvolvimento Mineiro, SA",,,,"R. Sampaio e Pina 1, 1070-050 Lisboa",pt
Eldorado Gold Corporation,TSE/NYSE,ELD/EGO,9.63 CDN,"550 Burrard St, Vancouver, BC V6C 3A8",ca
Elim Mining Incorporated,,,,,
Ely Gold Royalties Inc.,TSX-Venture/OTCQX,ELY/ELYGF,0.48 CDN,"595 Burrard St, Vancouver BC V7X 1K8",ca
EMX Royalty Corp.,TSX-Venture/NYSE,EMX,2.45 CDN,"543 Granville St, Vancouver, BC V6C 1X8",ca
Endurance Gold Corp,TSX-Venture,EDG,0.05 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
Energold Corp.,TSX-Venture/OTCQX,EGD/EGDFF,0.00 CDN,"543 Granville St, Vancouver, BC V6C 1X8",ca
Energy Fuels Inc.,TSE,EFR,2.16 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
Engineer Gold Mines Ltd,TSX-Venture,EAU ,007 CDN,"750 W Pender St, Vancouver, BC V6C 2T7",ca
Entrée Resources Ltd.,TSE/OTCQX,ETG/ERLFF,0.39 CDN,"1066 W Hastings St, Vancouver, BC V6E 3X1",ca
EnviroLeach Technologies Inc.,CSE/OTCQX/FSE,ETI/EVLLF/7N2,1.20 CDN,"8331 Eastlake Dr, Burnaby, BC V5A 4W2",ca
Equus Mining Limited,Sydney (ASX),EQE,0.02 AUS,"66 Hunter St, Sydney, NSW 2000",au
Erdene Resource Development Corp.,TSE/MSE,ERD/ERDN,0.23 CDN,"99 Wyse Rd, Dartmouth, NS B3A 4S5",ca
Ero Copper Corp.,TSE,ERO,18.80 CDN,"625 Howe St, Vancouver, BC V6C 2T6",ca
Eros Resources Corp.,TSX-Venture ,ERC,0.10 CDN,"789 W Pender St, Vancouver, BC V6C 1H2",ca
E-Tech Metals,private,,,"Bristol, UK BS34 9GT",gb
Evergold Corp,TSX-Venture,EVER,0.34 CDN,"18 King St E, Toronto, ON M5C 1C4",ca
Evrim Resources Corp.,TSX-Venture,EVM ,0.32 CDN,"850 W Hastings St, Vancouver, BC V6C 1E1",ca
Excelsior Mining Corp.,TSE/OTCQX,MIN/EXMGF,1.13 CDN,"2999 North 44th St, Phoenix, AZ 85018",us
Exiro Minerals Corp.,,,,"25 Adelaide St E, Toronto, ON M5C 3A1",ca
Fiore Gold,,,,,
FireFox Gold Corp.,TSX-Venture/ FSE,FFOX/A2PDU7,0.08 CDN,"1021 W Hastings St, Vancouver, BC V6E 0C3",ca
First Majestic Silver Corp.,TSE/NYSE/Frankfurt,FR/AG/FMV,13.80 CDN,"925 W Georgia St, Vancouver, BC V6C3L2",ca
First Mining Gold Corp.,TSE/OTCQX,FF/FFMGF,0.24 CDN,"1188 W Georgia St, Vancouver, BC V6E 4A2",ca
Fission Uranium Corp.,TSE/OTCQX/FSE,FCU/FCUUF/2FU,0.28 CDN,"1620 Dickson Ave, Kelowna, BC V1Y 9Y2",ca
Five Star Diamond Limited,TSX-Venture,STAR,0.04 CDN,"90 Adelaide St W, Toronto, ON M5H 3V9",ca
Focus Graphite Inc.,TSX-Venture,FMS,0.02 CDN,"945 Princess St, Kingston, ON K7L OE9",ca
Fomicruz S.E.,,,,"Alberdi 643, Rio Gallegos, Santa Cruz",ar
Foran Mining Corporation,TSX-Venture,FOM,0.26 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Fortune Minerals Limited,TSX-Venture,FT,0.08 CDN,"148 Fullarton St, London, ON N6A 5P3",ca
Forum Energy Metals Corp.,TSX-Venture,FMC,0.10 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
FPX Nickel Corp.,TSX-Venture,FPX,0.16 CDN,"1155 W Pender St, Vancouver, BC V6E 2P4",ca
Frontier Lithium Inc.,TSX-Venture,FL,0.25 CDN,"2736 Belisle Dr, Val Caron, ON P3N 1B3",ca
Galleon Gold Corp.,TSX-Venture,GGO,0.08 CDN,"161 Bay St, Toronto, ON M5J 2S1",ca
Galway Metals Inc.,TSX-Venture,GWM ,0.30 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
Garibaldi Resources Corp,TSX-Venture/OTCQX/Frankfurt ,GGI/GGIFF/RQM,0.71 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Gatling Exploration Inc.,TSX-Venture/OTCQX/Frankfurt ,GTR/GATGF,0.47 CDN,"200 Burrard St, Vancouver BC V6C 3L6",ca
Generation Mining Limited,CSE,GENM ,0.66 CDN,"100 King St, Toronto, ON M5X 1B1",ca
