name,commodity
Aurora Minerals Group LLP,Gold
Aurum Discovery,Gold
AURYN Mining Corp.,Gold
Auryn Resources Inc.,Gold
Avidian Gold Corp.,Gold
Avino Silver & Gold Mines Ltd.,Gold
Awale Resources Ltd.,Gold
Azimut Exploration Inc.,Gold
Azure Minerals Limited,Gold
B2Gold Corp.,Gold
Balmoral Resources Ltd.,Gold
Banyan Gold Corp.,Gold
Barrian Mining Corp,Gold
Barrick Gold Corporation,Gold
BeMetals Corp.,Gold
Benton Resources Inc.,Gold
BlackRock Gold Corp.,Gold
Blackstone Minerals Ltd,Gold
Blue Star Gold Corp.,Gold
Blue Thunder Mining Corp,Gold
BONTERRA Resources Inc.,Gold
Breaker Resources NL,Gold
Brixton Metals Corporation,Gold
BTU Metals Corp.,Gold
BWR Exploration Inc.,Gold
Cabral Gold Ltd.,Gold
Callinex Mines Inc.,Gold
Canarc Resource Corp.,Gold
Cantex Mine Development Corp,Gold
Cardinal Resources Ltd.,Gold
Carube Copper Corp.,Gold
Centerra Gold Inc.,Gold
Century Global Commodities Corporation,Gold
Chakana Copper Corporation,Gold
Chesapeake Gold Corporation,Gold
China Gold International Resources Corp. Ltd.,Gold
Columbus Gold Corp.,Gold
Commander Resources Ltd.,Gold
Condor Gold Plc,Gold
Conroy Gold and Natural Resources plc,Gold
Consulting & Mining Sevices SRL,Gold
Continental Gold Inc.,Gold
Copper Fox Metals Inc.,Gold
Copper Mountain Mining Corporation,Gold
Cornerstone Capital Resources Inc.,Gold
Corvus Gold Inc.,Gold
Crystal Lake Mining,Gold
CVK Mining Group,Gold
Delta Resources Limited,Gold
Desert Gold Ventures Inc.,Gold
Discovery Group,Gold
Dundee Precious Metals Inc.,Gold
Durango Resources Inc.,Gold
Dynacor Gold Mines Inc.,Gold
Dynasty Gold Corp.,Gold
Eagle Plains Resources Ltd.,Gold
Earthmetrix Inc.,Gold
Eastfield Resources Ltd.,Gold
Eclipse Gold Mining Corp,Gold
"EDM-Empresa de Desenvolvimento Mineiro, SA",Gold
Eldorado Gold Corporation,Gold
Ely Gold Royalties Inc.,Gold
EMX Royalty Corp.,Gold
Endurance Gold Corp,Gold
Energold Corp.,Gold
Engineer Gold Mines Ltd,Gold
Entrée Resources Ltd.,Gold
EnviroLeach Technologies Inc.,Gold
Equus Mining Limited,Gold
Eros Resources Corp.,Gold
Evergold Corp,Gold
Evrim Resources Corp.,Gold
Exiro Minerals Corp.,Gold
FireFox Gold Corp.,Gold
First Majestic Silver Corp.,Gold
First Mining Gold Corp.,Gold
Fomicruz S.E.,Gold
Fortune Minerals Limited,Gold
Forum Energy Metals Corp.,Gold
Galleon Gold Corp.,Gold
Galway Metals Inc.,Gold
Garibaldi Resources Corp,Gold
Gatling Exploration Inc.,Gold
Generation Mining Limited,Gold
Genesis Metals,Gold
Geomega Resources Inc.,Gold
Geophysx Jamaica Ltd,Gold
GFG Resources Inc.,Gold
Globe Trotters Resource Group Inc.,Gold
Globex Mining Enterprises Inc.,Gold
Globmine LLP,Gold
