name,country
Newmont Corporation,Dominican Republic
Unigold Inc.,Dominican Republic
Adventus Mining Corporation,Ecuador
Anglo American,Ecuador
Aurania Resources Ltd.,Ecuador
BHP,Ecuador
Cornerstone Capital Resources Inc.,Ecuador
"Lumina Group, The",Ecuador
Lundin Group,Ecuador
Newcrest Mining Ltd.,Ecuador
Salazar Resources Limited,Ecuador
SolGold,Ecuador
Tempus Resources Limited,Ecuador
MANAGEM Group,Ethiopia
Newmont Corporation,Ethiopia
Sun Peak Metals,Ethiopia
Kalo Exploration Ltd,Fiji
Lion One Metals,Fiji
Anglo American,Finland
Arctic Star Exploration Corp.,Finland
Centerra Gold Inc.,Finland
FireFox Gold Corp.,Finland
Mawson Resources Limited,Finland
Otso Gold Corp.,Finland
Palladium One,Finland
Rio Tinto,Finland
S2 Resources Ltd.,Finland
Columbus Gold Corp.,France
Lundin Group,France
Columbus Gold Corp.,French Guiana
Newmont Corporation,French Guiana
Reunion Gold Corporation,French Guiana
MANAGEM Group,Gabon
Globex Mining Enterprises Inc.,Germany
Panthera Resources Plc,Germany
Asante Gold Corporation,Ghana
Cardinal Resources Ltd.,Ghana
Golden Star Resources Limited,Ghana
Kinross Gold Corporation,Ghana
Moydow Resources Limited,Ghana
Newmont Corporation,Ghana
Pelangio Exploration Inc.,Ghana
Sandstorm Gold Royalties,Ghana
Wealth Minerals Ltd.,Ghana
Eldorado Gold Corporation,Greece
Wheaton Precious Metals Corp.,Greece
Anglo American,Greenland
Hudson Resources Inc.,Greenland
Longland Resources Ltd,Greenland
Artisanal Gold Council,Guinea
MANAGEM Group,Guinea
Goldsource Mines Inc.,Guyana
Reunion Gold Corporation,Guyana
Ascendant Resources Inc.,Honduras
Sandstorm Gold Royalties,Honduras
Panthera Resources Plc,India
Artisanal Gold Council,Indonesia
Lundin Group,Iraq
Altius Minerals Corp.,Ireland
Aurum Discovery,Ireland
Conroy Gold and Natural Resources plc,Ireland
Teck Resources Limited,Ireland
Carube Copper Corp.,Jamaica
Geophysx Jamaica Ltd,Jamaica
Japan Gold Corp.,Japan
Lundin Group,Japan
Aurora Minerals Group LLP,Kazakhstan
Globmine LLP,Kazakhstan
Rio Tinto,Kazakhstan
Lundin Group,Kenya
Spirit Mining LLC,Kenya
Aurora Minerals Group LLP,Kyrgyzstan
Centerra Gold Inc.,Kyrgyzstan
Rio Tinto,Lao PDR
Mkango Resources,Malawi
Monument Mining Limited,Malaysia
B2Gold Corp.,Mali
IAMGOLD Corporation,Mali
MANAGEM Group,Mali
Moydow Resources Limited,Mali
Roscan Gold Corporation,Mali
Wealth Minerals Ltd.,Mali
Kinross Gold Corporation,Mauritania
Alamos Gold Inc.,Mexico
Almaden Minerals Ltd.,Mexico
Americas Gold and Silver,Mexico
Argonaut Gold Inc.,Mexico
Avino Silver & Gold Mines Ltd.,Mexico
Azure Minerals Limited,Mexico
Centerra Gold Inc.,Mexico
Chesapeake Gold Corporation,Mexico
Commander Resources Ltd.,Mexico
Defiance Silver Corp.,Mexico
Evrim Resources Corp.,Mexico
First Majestic Silver Corp.,Mexico
Gold Group Management Inc.,Mexico
Golden Goliath Resources Ltd.,Mexico
Golden Minerals Company,Mexico
GR Sliver Mining Ltd.,Mexico
Hecla Mining Company,Mexico
Impact Silver Corp.,Mexico
Kootenay Silver Inc.,Mexico
Leagold Mining Corporation,Mexico
Mako Mining Corp.,Mexico
Manex Resource Group Inc.,Mexico
McEwen Mining Inc.,Mexico
Minaurum Gold Inc.,Mexico
Minera Alamos Inc.,Mexico
New Gold Inc.,Mexico
Newmont Corporation,Mexico
Orla Mining Ltd.,Mexico
Riverside Resources Inc.,Mexico
ROKMASTER Resources Corp.,Mexico
Sandstorm Gold Royalties,Mexico
Sierra Metals Inc.,Mexico
Silver One Resources,Mexico
SilverCrest Metals Inc.,Mexico
Sonoro Metals Corp.,Mexico
Starcore International Mines Ltd.,Mexico
Telson Mining Corporation,Mexico
Vizsla Resources Corp.,Mexico
Wheaton Precious Metals Corp.,Mexico
Aranjin Resources Ltd,Mongolia
Artisanal Gold Council,Mongolia
Aurora Minerals Group LLP,Mongolia
Entrée Resources Ltd.,Mongolia
Erdene Resource Development Corp.,Mongolia
Prophecy Development Corp.,Mongolia
Rio Tinto,Mongolia
Sandstorm Gold Royalties,Mongolia
Steppe Gold Limited,Mongolia
Aurum Discovery,Morocco
MANAGEM Group,Morocco
Maya Gold & Silver Inc.,Morocco
Pacific Trends Resources Pty Ltd,Myanmar
B2Gold Corp.,Namibia
Copperzone Resources Limited,Namibia
Lepidico Ltd.,Namibia
Lundin Group,Namibia
Montero Mining & Exploration Ltd.,Namibia
Osino Resources Corp.,Namibia
Trevali Mining Corporation,Namibia
OceanaGold Corporation,New Zealand
Condor Gold Plc,Nicaragua
IAMGOLD Corporation,Nicaragua
Mako Mining Corp.,Nicaragua
Royal Road Minerals,Nicaragua
Lundin Group,Nigeria
Mosra Enerji,Nigeria
Moydow Resources Limited,Nigeria
ALX Resources Corp.,Norway
EMX Royalty Corp.,Norway
Lundin Group,Norway
Playfair Mining Ltd.,Norway
Orla Mining Ltd.,Panama
K92 Mining Inc.,Papua New Guinea
Rio Tinto,Papua New Guinea
Golden Arrow Resources,Paraguay
Sandstorm Gold Royalties,Paraguay
Uranium Energy Corp.,Paraguay
Anglo American,Peru
Artisanal Gold Council,Peru
AURYN Mining Corp.,Peru
Auryn Resources Inc.,Peru
Barrick Gold Corporation,Peru
BHP,Peru
Candente Copper Corp.,Peru
Carube Copper Corp.,Peru
Cerro de Pasco Resources Inc.,Peru
Chakana Copper Corporation,Peru
Consulting & Mining Sevices SRL,Peru
Dynacor Gold Mines Inc.,Peru
Globe Trotters Resource Group Inc.,Peru
Gold Group Management Inc.,Peru
GoldMining Inc.,Peru
High Power Exploration,Peru
IAMGOLD Corporation,Peru
Inca One Gold Corp.,Peru
Lara Exploration Ltd.,Peru
Metals Group Inc.,Peru
Newmont Corporation,Peru
Nexa Resources S.A.,Peru
Palamina Corp.,Peru
Panoro Minerals Ltd.,Peru
Plateau Energy Metals Inc.,Peru
PPX Mining Corp.,Peru
Pucara Resources,Peru
Regulus Resources Inc.,Peru
Rio Tinto,Peru
ROKMASTER Resources Corp.,Peru
Sandstorm Gold Royalties,Peru
Sierra Metals Inc.,Peru
Solitario Zinc Corp.,Peru
Teck Resources Limited,Peru
Tinka Resources Limited,Peru
Trevali Mining Corporation,Peru
Wheaton Precious Metals Corp.,Peru
Artisanal Gold Council,Philippines
B2Gold Corp.,Philippines
OceanaGold Corporation,Philippines
Rugby Mining Limited,Philippines
Ascendant Resources Inc.,Portugal
"EDM-Empresa de Desenvolvimento Mineiro, SA",Portugal
Lepidico Ltd.,Portugal
Lundin Group,Portugal
Eldorado Gold Corporation,Romania
Aurora Minerals Group LLP,Russian Federation
Kinross Gold Corporation,Russian Federation
Kopy Goldfields AB,Russian Federation
Orsu Metals Corporation,Russian Federation
Silver Bear Resources Plc.,Russian Federation
Dynacor Gold Mines Inc.,Senegal
IAMGOLD Corporation,Senegal
Teranga Gold Corporation,Senegal
Eldorado Gold Corporation,Serbia
Gold Group Management Inc.,Serbia
Mundoro Capital Inc.,Serbia
Rio Tinto,Serbia
Tethyan Resource Corp.,Serbia
SolGold,Solomon Islands
Anglo American,South Africa
Diamcor Mining Inc.,South Africa
Ivanhoe Mines,South Africa
Lundin Group,South Africa
Montero Mining & Exploration Ltd.,South Africa
Rio Tinto,South Africa
Sandstorm Gold Royalties,South Africa
South32 Limited,South Africa
Aurum Discovery,Spain
Orvana Minerals Corp.,Spain
Valoriza Mineria SL,Spain
MANAGEM Group,Sudan
Artisanal Gold Council,Suriname
Columbus Gold Corp.,Suriname
IAMGOLD Corporation,Suriname
Newmont Corporation,Suriname
Aurum Discovery,Sweden
Centerra Gold Inc.,Sweden
EMX Royalty Corp.,Sweden
Leading Edge Materials Corp.,Sweden
Lundin Group,Sweden
Mandalay Resources Corp.,Sweden
Sandstorm Gold Royalties,Sweden
Wheaton Precious Metals Corp.,Sweden
Montero Mining & Exploration Ltd.,Tanzania
Rio Tinto,Tanzania
Kingsgate Consolidated Limited,Thailand
Alacer Gold Corp.,Turkey
Alamos Gold Inc.,Turkey
Centerra Gold Inc.,Turkey
CVK Mining Group,Turkey
Eldorado Gold Corporation,Turkey
EMX Royalty Corp.,Turkey
Mira Stone Ltd,Turkey
Sandstorm Gold Royalties,Turkey
Teck Resources Limited,Turkey
Oro Verde Limited,Uganda
Aurum Discovery,United Kingdom
Strongbow Exploration Inc.,United Kingdom
Adamera Minerals Corp.,United States
AJN Resources Inc.,United States
Alamos Gold Inc.,United States
Altius Minerals Corp.,United States
Americas Gold and Silver,United States
Anglo American,United States
Aquila Resources Inc.,United States
Ares Strategic Mining Inc.,United States
Ascot Resources Ltd.,United States
Aston Bay,United States
Avidian Gold Corp.,United States
Barrian Mining Corp,United States
Barrick Gold Corporation,United States
BeMetals Corp.,United States
BHP,United States
BlackRock Gold Corp.,United States
Brixton Metals Corporation,United States
Canarc Resource Corp.,United States
Cantex Mine Development Corp,United States
Centerra Gold Inc.,United States
Constantine Metal Resources Ltd.,United States
Copper Fox Metals Inc.,United States
Corvus Gold Inc.,United States
Desert Mountain Energy Corp.,United States
Dynasty Gold Corp.,United States
Eclipse Gold Mining Corp,United States
Elim Mining Incorporated,United States
Ely Gold Royalties Inc.,United States
EMX Royalty Corp.,United States
Endurance Gold Corp,United States
Energy Fuels Inc.,United States
EnviroLeach Technologies Inc.,United States
