,name,country
306,Sitka Gold Corp,Canada
307,Skeena Resources Ltd.,Canada
308,Skyharbour Resources Ltd.,Canada
309,Sokoman Minerals Corp.,Canada
310,South32 Limited,Canada
311,SPC Metals,Canada
312,Sphinx Resources Ltd.,Canada
313,Spirit Mining LLC,Canada
314,Sprott Group of Companies,Canada
315,Star Diamond Corporation,Canada
316,Stratabound Minerals Corp.,Canada
317,Strategic Exploration Group,Canada
318,Strongbow Exploration Inc.,Canada
319,Stuhini Exploration Ltd.,Canada
320,Talisker Resources,Canada
321,Talmora Diamond Inc.,Canada
322,Teck Resources Limited,Canada
323,Tempus Resources Limited,Canada
324,Toronto Stock Exchange,Canada
325,Transition Metals Corp.,Canada
326,Treasury Metals Inc.,Canada
327,Tres-Or Resources Ltd.,Canada
328,Trevali Mining Corporation,Canada
329,Tri Origin Exploration Ltd.,Canada
330,Triumph Gold Corp.,Canada
331,Troilus Gold Corp.,Canada
332,Tudor Gold Corp.,Canada
333,Ubique Minerals Ltd.,Canada
334,Ucore Rare Metals Inc.,Canada
335,UEX Corporation,Canada
336,Vale Canada Limited,Canada
337,VanadiumCorp Resource Inc.,Canada
338,Victory Nickel Inc.,Canada
339,Vior Inc.,Canada
340,Vista Energy Resources,Canada
341,Vizsla Resources Corp.,Canada
342,Vulcan Minerals Inc.,Canada
343,Wallbridge Mining Company Limited,Canada
344,Wesdome Gold Mines,Canada
345,West Red Lake Gold Mines Inc.,Canada
346,Western Atlas Resources Inc.,Canada
347,Western Copper and Gold Corporation,Canada
348,Westhaven Ventures Inc.,Canada
349,Wheaton Precious Metals Corp.,Canada
350,White Gold Corp.,Canada
351,Wildsky Resources Inc.,Canada
352,Windfall Geotek Inc.,Canada
353,Wolfden Resources Corporation,Canada
354,Ximen Mining Corp.,Canada
355,X-Terra Resources,Canada
356,Yamana Gold Inc.,Canada
357,Yorbeau Resources Inc.,Canada
358,Yukon Mining Alliance,Canada
359,Zen Graphene Solutions,Canada
360,Zimtu Capital Corp.,Canada
361,ZincX Resources Corp.,Canada
362,AbraPlata Resource Corp.,Chile
363,Altius Minerals Corp.,Chile
364,Amerigo Resources Ltd.,Chile
365,Anglo American,Chile
366,AURYN Mining Corp.,Chile
367,Barrick Gold Corporation,Chile
368,BHP,Chile
369,Cornerstone Capital Resources Inc.,Chile
370,Equus Mining Limited,Chile
371,Golden Arrow Resources,Chile
372,Kingsgate Consolidated Limited,Chile
373,Kinross Gold Corporation,Chile
374,Lundin Group,Chile
375,Metals Group Inc.,Chile
376,Minera Tres Valles,Chile
377,Mirasol Resources Ltd.,Chile
378,Montero Mining & Exploration Ltd.,Chile
379,Newcrest Mining Ltd.,Chile
380,Newmont Corporation,Chile
381,Orestone Mining Corp,Chile
382,Pacific Trends Resources Pty Ltd,Chile
383,Red Metal Resources Ltd.,Chile
384,Revelo Resources Corp.,Chile
385,Rio Tinto,Chile
386,Sandstorm Gold Royalties,Chile
387,SQM,Chile
388,Teck Resources Limited,Chile
389,Wealth Minerals Ltd.,Chile
390,Wheaton Precious Metals Corp.,Chile
391,Xiana Mining Inc.,Chile
392,Yamana Gold Inc.,Chile
393,China Gold International Resources Corp. Ltd.,China
394,Rio Tinto,China
395,Silvercorp Metals Inc.,China
396,Andino Commodities S.A.S,Colombia
397,Artisanal Gold Council,Colombia
398,B2Gold Corp.,Colombia
399,Continental Gold Inc.,Colombia
400,GoldMining Inc.,Colombia
401,Gran Colombia Gold Corp.,Colombia
402,High Power Exploration,Colombia
403,IAMGOLD Corporation,Colombia
404,Lara Exploration Ltd.,Colombia
405,Libero Copper,Colombia
406,Morocota Gold SAS,Colombia
407,Newmont Corporation,Colombia
408,Newrange Gold Corp.,Colombia
409,Royal Road Minerals,Colombia
410,Rugby Mining Limited,Colombia
411,South32 Limited,Colombia
412,AJN Resources Inc.,"Congo, Democratic Republic Of"
413,Ivanhoe Mines,"Congo, Democratic Republic Of"
414,MANAGEM Group,"Congo, Democratic Republic Of"
415,Awale Resources Ltd.,Cote D'ivoire
416,High Power Exploration,Cote D'ivoire
417,MANAGEM Group,Cote D'ivoire
418,Roxgold Inc.,Cote D'ivoire
419,Teranga Gold Corporation,Cote D'ivoire
420,Sherritt International Corporation,Cuba
421,Energold Corp.,Dominican Republic
422,GoldQuest Mining Corp.,Dominican Republic
423,Newmont Corporation,Dominican Republic
424,Unigold Inc.,Dominican Republic
425,Adventus Mining Corporation,Ecuador
426,Anglo American,Ecuador
427,Aurania Resources Ltd.,Ecuador
428,BHP,Ecuador
429,Cornerstone Capital Resources Inc.,Ecuador
430,"Lumina Group, The",Ecuador
431,Lundin Group,Ecuador
432,Newcrest Mining Ltd.,Ecuador
433,Salazar Resources Limited,Ecuador
434,SolGold,Ecuador
435,Tempus Resources Limited,Ecuador
436,MANAGEM Group,Ethiopia
437,Newmont Corporation,Ethiopia
438,Sun Peak Metals,Ethiopia
439,Kalo Exploration Ltd,Fiji
440,Lion One Metals,Fiji
441,Anglo American,Finland
442,Arctic Star Exploration Corp.,Finland
443,Centerra Gold Inc.,Finland
444,FireFox Gold Corp.,Finland
445,Mawson Resources Limited,Finland
446,Otso Gold Corp.,Finland
447,Palladium One,Finland
448,Rio Tinto,Finland
449,S2 Resources Ltd.,Finland
450,Columbus Gold Corp.,France
451,Lundin Group,France
452,Columbus Gold Corp.,French Guiana
453,Newmont Corporation,French Guiana
454,Reunion Gold Corporation,French Guiana
455,MANAGEM Group,Gabon
456,Globex Mining Enterprises Inc.,Germany
457,Panthera Resources Plc,Germany
458,Asante Gold Corporation,Ghana
459,Cardinal Resources Ltd.,Ghana
460,Golden Star Resources Limited,Ghana
461,Kinross Gold Corporation,Ghana
462,Moydow Resources Limited,Ghana
463,Newmont Corporation,Ghana
464,Pelangio Exploration Inc.,Ghana
465,Sandstorm Gold Royalties,Ghana
466,Wealth Minerals Ltd.,Ghana
467,Eldorado Gold Corporation,Greece
468,Wheaton Precious Metals Corp.,Greece
469,Anglo American,Greenland
470,Hudson Resources Inc.,Greenland
471,Longland Resources Ltd,Greenland
472,Artisanal Gold Council,Guinea
473,MANAGEM Group,Guinea
474,Goldsource Mines Inc.,Guyana
475,Reunion Gold Corporation,Guyana
476,Ascendant Resources Inc.,Honduras
477,Sandstorm Gold Royalties,Honduras
478,Panthera Resources Plc,India
479,Artisanal Gold Council,Indonesia
480,Lundin Group,Iraq
481,Altius Minerals Corp.,Ireland
482,Aurum Discovery,Ireland
483,Conroy Gold and Natural Resources plc,Ireland
484,Teck Resources Limited,Ireland
485,Carube Copper Corp.,Jamaica
486,Geophysx Jamaica Ltd,Jamaica
487,Japan Gold Corp.,Japan
488,Lundin Group,Japan
489,Aurora Minerals Group LLP,Kazakhstan
490,Globmine LLP,Kazakhstan
491,Rio Tinto,Kazakhstan
492,Lundin Group,Kenya
493,Spirit Mining LLC,Kenya
494,Aurora Minerals Group LLP,Kyrgyzstan
495,Centerra Gold Inc.,Kyrgyzstan
496,Rio Tinto,Laos
497,Sherritt International Corporation,Madagascar
498,Mkango Resources,Malawi
499,Monument Mining Limited,Malaysia
500,B2Gold Corp.,Mali
501,IAMGOLD Corporation,Mali
502,MANAGEM Group,Mali
503,Moydow Resources Limited,Mali
504,Roscan Gold Corporation,Mali
505,Wealth Minerals Ltd.,Mali
506,Kinross Gold Corporation,Mauritania
507,Alamos Gold Inc.,Mexico
508,Almaden Minerals Ltd.,Mexico
509,Americas Gold and Silver,Mexico
510,Argonaut Gold Inc.,Mexico
511,Avino Silver & Gold Mines Ltd.,Mexico
512,Azure Minerals Limited,Mexico
513,Centerra Gold Inc.,Mexico
514,Chesapeake Gold Corporation,Mexico
515,Commander Resources Ltd.,Mexico
516,Defiance Silver Corp.,Mexico
517,Evrim Resources Corp.,Mexico
518,First Majestic Silver Corp.,Mexico
519,Gold Group Management Inc.,Mexico
520,Golden Goliath Resources Ltd.,Mexico
521,Golden Minerals Company,Mexico
522,GR Sliver Mining Ltd.,Mexico
523,Hecla Mining Company,Mexico
524,Impact Silver Corp.,Mexico
525,Kootenay Silver Inc.,Mexico
526,Leagold Mining Corporation,Mexico
527,Mako Mining Corp.,Mexico
528,Manex Resource Group Inc.,Mexico
529,McEwen Mining Inc.,Mexico
530,Minaurum Gold Inc.,Mexico
531,Minera Alamos Inc.,Mexico
532,New Gold Inc.,Mexico
533,Newmont Corporation,Mexico
534,Orla Mining Ltd.,Mexico
535,Riverside Resources Inc.,Mexico
536,ROKMASTER Resources Corp.,Mexico
537,Sandstorm Gold Royalties,Mexico
538,Sierra Metals Inc.,Mexico
539,Silver One Resources,Mexico
540,SilverCrest Metals Inc.,Mexico
541,Sonoro Metals Corp.,Mexico
542,Starcore International Mines Ltd.,Mexico
543,Telson Mining Corporation,Mexico
544,Vizsla Resources Corp.,Mexico
545,Wheaton Precious Metals Corp.,Mexico
546,Artisanal Gold Council,Mongolia
547,Aurora Minerals Group LLP,Mongolia
548,Entrée Resources Ltd.,Mongolia
549,Erdene Resource Development Corp.,Mongolia
550,Five Star Diamond Limited,Mongolia
551,Prophecy Development Corp.,Mongolia
552,Rio Tinto,Mongolia
553,Sandstorm Gold Royalties,Mongolia
554,Steppe Gold Limited,Mongolia
555,Aurum Discovery,Morocco
556,MANAGEM Group,Morocco
557,Maya Gold & Silver Inc.,Morocco
558,Pacific Trends Resources Pty Ltd,Myanmar (Burma)
559,B2Gold Corp.,Namibia
560,Copperzone Resources Limited,Namibia
561,E-Tech Metals,Namibia
562,Lepidico Ltd.,Namibia
563,Lundin Group,Namibia
564,Montero Mining & Exploration Ltd.,Namibia
565,Osino Resources Corp.,Namibia
566,Trevali Mining Corporation,Namibia
567,OceanaGold Corporation,New Zealand
568,Condor Gold Plc,Nicaragua
569,IAMGOLD Corporation,Nicaragua
570,Mako Mining Corp.,Nicaragua
571,Royal Road Minerals,Nicaragua
572,Lundin Group,Nigeria
573,Moydow Resources Limited,Nigeria
574,ALX Resources Corp.,Norway
575,EMX Royalty Corp.,Norway
576,Lundin Group,Norway
577,Playfair Mining Ltd.,Norway
578,Jamaica Stock Exchange,NULL
579,Orla Mining Ltd.,Panama
580,K92 Mining Inc.,Papua New Guinea
581,Rio Tinto,Papua New Guinea
582,Golden Arrow Resources,Paraguay
583,Sandstorm Gold Royalties,Paraguay
584,Uranium Energy Corp.,Paraguay
585,Anglo American,Peru
586,Artisanal Gold Council,Peru
587,AURYN Mining Corp.,Peru
588,Auryn Resources Inc.,Peru
589,Barrick Gold Corporation,Peru
590,BHP,Peru
591,Candente Copper Corp.,Peru
592,Carube Copper Corp.,Peru
593,Cerro de Pasco Resources Inc.,Peru
594,Chakana Copper Corporation,Peru
595,Consulting & Mining Sevices SRL,Peru
596,Dynacor Gold Mines Inc.,Peru
597,Globe Trotters Resource Group Inc.,Peru
598,Gold Group Management Inc.,Peru
599,GoldMining Inc.,Peru
600,High Power Exploration,Peru
601,IAMGOLD Corporation,Peru
602,Inca One Gold Corp.,Peru
603,Lara Exploration Ltd.,Peru
604,Metals Group Inc.,Peru
605,Newmont Corporation,Peru
606,Nexa Resources S.A.,Peru
607,Palamina Corp.,Peru
608,Panoro Minerals Ltd.,Peru
609,Plateau Energy Metals Inc.,Peru
610,PPX Mining Corp.,Peru
611,Pucara Resources,Peru
612,Regulus Resources Inc.,Peru
613,Rio Tinto,Peru
614,ROKMASTER Resources Corp.,Peru
615,Sandstorm Gold Royalties,Peru
616,Sierra Metals Inc.,Peru
617,Solitario Zinc Corp.,Peru
618,Teck Resources Limited,Peru
619,Tinka Resources Limited,Peru
620,Trevali Mining Corporation,Peru
621,Wheaton Precious Metals Corp.,Peru
622,Zinc One Resources Inc.,Peru
623,Artisanal Gold Council,Philippines
624,B2Gold Corp.,Philippines
625,OceanaGold Corporation,Philippines
626,Rugby Mining Limited,Philippines
627,Ascendant Resources Inc.,Portugal
628,"EDM-Empresa de Desenvolvimento Mineiro, SA",Portugal
629,Lepidico Ltd.,Portugal
630,Lundin Group,Portugal
631,Eldorado Gold Corporation,Romania
632,Aurora Minerals Group LLP,Russian Federation
633,Kinross Gold Corporation,Russian Federation
634,Kopy Goldfields AB,Russian Federation
635,Orsu Metals Corporation,Russian Federation
636,Silver Bear Resources Plc.,Russian Federation
637,Dynacor Gold Mines Inc.,Senegal
638,IAMGOLD Corporation,Senegal
639,Teranga Gold Corporation,Senegal
640,Eldorado Gold Corporation,Serbia
641,Gold Group Management Inc.,Serbia
642,Mundoro Capital Inc.,Serbia
643,Rio Tinto,Serbia
644,Tethyan Resource Corp.,Serbia
645,SolGold,Solomon Islands
646,Anglo American,South Africa
647,Diamcor Mining Inc.,South Africa
648,Ivanhoe Mines,South Africa
649,Lundin Group,South Africa
650,Montero Mining & Exploration Ltd.,South Africa
651,Rio Tinto,South Africa
652,Sandstorm Gold Royalties,South Africa
653,South32 Limited,South Africa
654,Aurum Discovery,Spain
655,Orvana Minerals Corp.,Spain
656,Valoriza Mineria SL,Spain
657,MANAGEM Group,Sudan
658,Artisanal Gold Council,Suriname
659,Columbus Gold Corp.,Suriname
660,IAMGOLD Corporation,Suriname
661,Newmont Corporation,Suriname
662,Aurum Discovery,Sweden
663,Centerra Gold Inc.,Sweden
664,EMX Royalty Corp.,Sweden
665,Leading Edge Materials Corp.,Sweden
666,Lundin Group,Sweden
667,Mandalay Resources Corp.,Sweden
668,Sandstorm Gold Royalties,Sweden
669,Wheaton Precious Metals Corp.,Sweden
670,Montero Mining & Exploration Ltd.,"Tanzania, United Republic Of"
671,Rio Tinto,"Tanzania, United Republic Of"
672,Kingsgate Consolidated Limited,Thailand
673,Keras Resources plc,Togo
674,Alacer Gold Corp.,Turkey
675,Alamos Gold Inc.,Turkey
676,Centerra Gold Inc.,Turkey
677,CVK Mining Group,Turkey
678,Eldorado Gold Corporation,Turkey
679,EMX Royalty Corp.,Turkey
680,Mira Stone Ltd,Turkey
681,Sandstorm Gold Royalties,Turkey
682,Teck Resources Limited,Turkey
683,Oro Verde Limited,Uganda
684,Aurum Discovery,United Kingdom
685,Strongbow Exploration Inc.,United Kingdom
686,Adamera Minerals Corp.,United States
687,AJN Resources Inc.,United States
688,Alamos Gold Inc.,United States
689,Altius Minerals Corp.,United States
690,Americas Gold and Silver,United States
691,Anglo American,United States
692,Aquila Resources Inc.,United States
693,Ares Strategic Mining Inc.,United States
694,Ascot Resources Ltd.,United States
695,Aston Bay,United States
696,Avidian Gold Corp.,United States
697,Barrian Mining Corp,United States
698,Barrick Gold Corporation,United States
699,BeMetals Corp.,United States
700,BHP,United States
701,BlackRock Gold Corp.,United States
702,Brixton Metals Corporation,United States
703,Canarc Resource Corp.,United States
704,Cantex Mine Development Corp,United States
705,Centerra Gold Inc.,United States
706,Constantine Metal Resources Ltd.,United States
707,Copper Fox Metals Inc.,United States
708,Corvus Gold Inc.,United States
709,Desert Mountain Energy Corp.,United States
710,Dynasty Gold Corp.,United States
711,Eclipse Gold Mining Corp,United States
712,Elim Mining Incorporated,United States
713,Ely Gold Royalties Inc.,United States
714,EMX Royalty Corp.,United States
715,Endurance Gold Corp,United States
716,Energy Fuels Inc.,United States
717,EnviroLeach Technologies Inc.,United States
718,Eros Resources Corp.,United States
719,Evrim Resources Corp.,United States
720,Excelsior Mining Corp.,United States
721,Fiore Gold,United States
722,Forum Energy Metals Corp.,United States
723,GFG Resources Inc.,United States
724,Globex Mining Enterprises Inc.,United States
725,GMV Minerals Inc.,United States
726,Gold Group Management Inc.,United States
727,Gold Springs Resource Corp.,United States
728,Golden Minerals Company,United States
729,GoldMining Inc.,United States
730,Goldmoney Inc.,United States
731,Hecla Mining Company,United States
732,HighGold Mining Inc,United States
733,Independence Gold Corp.,United States
734,Integra Resources Corp.,United States
735,International Millennium Mining Corp.,United States
736,ioneer,United States
737,Kerr Mines Inc.,United States
738,Kinross Gold Corporation,United States
739,Libero Copper,United States
740,Liberty Gold Corp.,United States
741,Manex Resource Group Inc.,United States
742,McEwen Mining Inc.,United States
743,Metallic Group of Companies,United States
744,Midas Gold Corp.,United States
745,Mineral Mountain Resources Ltd.,United States
746,"Morefield Gem Mine, Inc.",United States
747,Moydow Resources Limited,United States
748,Nevada Copper Corp.,United States
749,Nevada Exploration Inc.,United States
750,New Age Metals,United States
751,New Gold Inc.,United States
752,Newcrest Mining Ltd.,United States
753,Newmont Corporation,United States
754,Newrange Gold Corp.,United States
755,Northern Dynasty Minerals Ltd.,United States
756,Northern Vertex Mining Corp.,United States
757,Novagold Resources Inc.,United States
758,OceanaGold Corporation,United States
759,Orford Mining Corp.,United States
760,Pancontinental Resources Corporation,United States
761,Peloton Minerals Corporation,United States
762,PolyMet Mining Corp.,United States
