id,booth,name,website
464,807,SEI Industries Ltd.,http://www.sei-ind.com
465,1409,Semm Logging,http://www.semmlogging.com
466,1010,"Sepor, Inc.",http://www.sepor.com
467,1222,Sepro Systems,http://www.seprosystems.com
468,102,SGS ,http://www.sgs.com/mining
469,"948, 2312",Sherritt International Corporation,http://www.sherritt.com
470,6923N,Sigfusson Northern Ltd.,http://www.sigfusson.ca
471,7516N,Silicon Sensing Systems,http://www.sssj.co.jp
472,616,Simcoe Geoscience Limited,http://www.simcoegeoscience.com
473,7306N,SimWell,http://www.simwell.ca
474,429,Sirius Wilderness Medicine Inc.,http://www.siriusmed.com
475,217,Sisprobe,http://www.sisprobe.com
476,7423N,Sixth Wave Innovations Inc.,http://www.sixthwave.com
477,7425N,Skycatch Inc.,http://www.skycatch.com
478,839,Skyline Assayers & Laboratories,http://www.skylinelabs.com
